ind_name,ind_id,Type,Definition,Pubmed_links
Enterobiasis,C0086227,Disease or Syndrome,An infection that is caused by the nematode Enterobius vermicularis; it is characterized predominantly by perianal pruritus. ,"The Diagnosis and Treatment of Pinworm Infection. Worm Infestation: Diagnosis, Treatment and Prevention. Impact of Enterobius vermicularis infection and mebendazole treatment on intestinal microbiota and host immune response. Enterobiasis and its risk factors in urban, rural and indigenous children of subtropical Argentina. The Diagnosis and Treatment of Pinworm Infection. Worm Infestation: Diagnosis, Treatment and Prevention. Chemotherapy of enterobiasis (oxyuriasis). Paediatric vulvovaginitis. The Diagnosis and Treatment of Pinworm Infection. Worm Infestation: Diagnosis, Treatment and Prevention. Recognizing common parasitic infestations. Common intestinal parasites. Enterobiasis. Albendazole and Mebendazole as Anti-Parasitic and Anti-Cancer Agents: an Update. The Diagnosis and Treatment of Pinworm Infection. Common intestinal parasites. Enterobiasis. Mebendazole. Enterobius vermicularis Appendiceal Colic. Gynecological and obstetrical aspects of Enterobius vermicularis infection. Enterobiasis and strongyloidiasis and associated co-infections and morbidity markers in infants, preschool- and school-aged children from rural coastal Tanzania: a cross-sectional study. Pruritus ani. Enterobius vermicularis infection. A ""fruitful"" cause of acute appendicitis. Seeds or Parasites? Clinical and Histopathological Features of Seeds and Parasites in the Appendix. Retrospective analysis and time series forecasting with automated machine learning of ascariasis, enterobiasis and cystic echinococcosis in Romania. Helminth infections in the US military: from strongyloidiasis to schistosomiasis. Enterobiasis and strongyloidiasis and associated co-infections and morbidity markers in infants, preschool- and school-aged children from rural coastal Tanzania: a cross-sectional study. The neglected role of Enterobius vermicularis in appendicitis: A systematic review and meta-analysis."
Infection by Trichuris trichiura,C0040954,Disease or Syndrome,"An infection that is caused by the nematode Trichuris trichiura, a soil-transmitted helminth, which is transmitted via food and/or water contaminated with the eggs of the worm. Symptoms are usually mild and include abdominal pain, diarrhea, fatigue, and possibly anemia secondary to blood loss in diarrhea. ","Anthelmintic treatment follow up in a rural community in Camamu, Bahia, Brazil. Worm Infestation: Diagnosis, Treatment and Prevention. Soil-transmitted helminth reinfection after drug treatment: a systematic review and meta-analysis. Genetic Analysis of Small-Subunit Ribosomal RNA, Internal Transcribed Spacer 2, and ATP Synthase Subunit 8 of Trichuris trichiura Ancient DNA Retrieved from the 15th to 18th Century Joseon Dynasty Mummies' Coprolites from Korea."
Polycythemia Vera,C0032463,Neoplastic Process,"Polycythemia vera (PV), the most common form of primary polycythemia, is caused by somatic mutation in a single hematopoietic stem cell leading to clonal hematopoiesis. PV is a myeloproliferative disorder characterized predominantly by erythroid hyperplasia, but also by myeloid leukocytosis, thrombocytosis, and splenomegaly. Familial cases of PV are very rare and usually manifest in elderly patients (Cario, 2005). PV is distinct from the familial erythrocytoses (see, e.g., ECYT1, 133100), which are caused by inherited mutations resulting in hypersensitivity of erythroid progenitors to hormonal influences or increased levels of circulating hormones, namely erythropoietin (EPO; 133170) (Prchal, 2005). ","JAK2 unmutated erythrocytosis: 2023 Update on diagnosis and management. Risk Factors for and Management of MPN-Associated Bleeding and Thrombosis. Investigation and Management of Erythrocytosis. NCCN Clinical Practice Guidelines in Oncology (NCCN Guidelines®), Myeloproliferative Neoplasms, 2023 JAK2 unmutated erythrocytosis: 2023 Update on diagnosis and management. JAK2 unmutated erythrocytosis: current diagnostic approach and therapeutic views. Somatic mutations of calreticulin in myeloproliferative neoplasms. Polycythemia vera. Myeloproliferative disorders. JAK2 unmutated erythrocytosis: 2023 Update on diagnosis and management. Genetic basis and molecular profiling in myeloproliferative neoplasms. JAK2 unmutated erythrocytosis: current diagnostic approach and therapeutic views. Polycythemia vera. Acquired mutation of the tyrosine kinase JAK2 in human myeloproliferative disorders. JAK2 unmutated erythrocytosis: 2023 Update on diagnosis and management. Polycythemia vera and essential thrombocythemia: 2015 update on diagnosis, risk-stratification and management. Are MPNs vascular diseases? Polycythemia vera. Essential thrombocythemia. Genetic basis and molecular profiling in myeloproliferative neoplasms. JAK2 unmutated erythrocytosis: current diagnostic approach and therapeutic views. Somatic mutations of calreticulin in myeloproliferative neoplasms. Polycythemia vera. Acquired mutation of the tyrosine kinase JAK2 in human myeloproliferative disorders. Erythrocytosis: Diagnosis and investigation. Genetic basis and molecular profiling in myeloproliferative neoplasms. Lab tests for MPN. Investigation and Management of Erythrocytosis. Acquired mutation of the tyrosine kinase JAK2 in human myeloproliferative disorders. Environmental Factors, Lifestyle Risk Factors, and Host Characteristics Associated With Philadelphia Negative Myeloproliferative Neoplasm: A Systematic Review. Molecular resources"
Vertigo,C0042571,Sign or Symptom,An abnormal sensation of spinning while the body is actually stationary. ,"Benign paroxysmal positional vertigo: Effective diagnosis and treatment. Clinical Practice Guideline: Sudden Hearing Loss (Update). Clinical Practice Guideline: Benign Paroxysmal Positional Vertigo (Update). UK NICE Guideline (NG127), Suspected neurological conditions: recognition and referral, 2023 Vascular vertigo and dizziness: Diagnostic criteria. Central positional nystagmus: an update. Cerebellar Dizziness and Vertigo: Etiologies, Diagnostic Assessment, and Treatment. Central vertigo. The epidemiology of dizziness and vertigo. Benign paroxysmal positional vertigo: Effective diagnosis and treatment. Benign paroxysmal positional vertigo. Update on benign paroxysmal positional vertigo. Central vertigo. Pathogenesis, Diagnosis, and Treatment of Cervical Vertigo. Efficacy and Safety of Ketamine vs Electroconvulsive Therapy Among Patients With Major Depressive Episode: A Systematic Review and Meta-analysis. Use of ketamine and esketamine for depression: an overview of systematic reviews with meta-analyses. Vestibular Disorders. Benefits and harms of pregabalin in the management of neuropathic pain: a rapid review and meta-analysis of randomised clinical trials. Betahistine for symptoms of vertigo. Incidence and Risk Factors of Falls Among Older People in Nursing Homes: Systematic Review and Meta-Analysis. Effectiveness of conventional versus virtual reality-based vestibular rehabilitation exercises in elderly patients with dizziness: a randomized controlled study with 6-month follow-up. Efficacy and safety of betahistine treatment in patients with Meniere's disease: primary results of a long term, multicentre, double blind, randomised, placebo controlled, dose defining trial (BEMED trial). Epidemiology of balance symptoms and disorders in the community: a systematic review. Menière's disease. Efficacy of Benzodiazepines or Antihistamines for Patients With Acute Vertigo: A Systematic Review and Meta-analysis. Efficacy of Epley Maneuver on Quality of Life of Elderly Patients with Subjective BPPV. Use of HINTS in the acute vestibular syndrome. An Overview. Vestibular paroxysmia: Diagnostic criteria. Sudden sensorineural hearing loss: a review of diagnosis, treatment, and prognosis. Incidence and Risk Factors of Falls Among Older People in Nursing Homes: Systematic Review and Meta-Analysis. Efficacy and Safety of Ketamine vs Electroconvulsive Therapy Among Patients With Major Depressive Episode: A Systematic Review and Meta-analysis. Treatment for vestibular schwannoma: Systematic review and single arm meta-analysis. Risk factors for benign paroxysmal positional vertigo recurrence: a systematic review and meta-analysis. Betahistine for symptoms of vertigo."
Motion Sickness,C0026603,Disease or Syndrome,"A sensation of discomfort that results from a discordant relationship between visualized movement and any movement sensed by the vestibular system, which is characterized by dizziness, nausea, and vomiting. ",Motion sickness: current concepts and management. Management of postoperative nausea and vomiting in adults: current controversies. The Neurophysiology and Treatment of Motion Sickness. Motion sickness: current concepts and management. Chronic Dizziness. Motion sickness. Self-driving carsickness. Evidence-based analysis of risk factors for postoperative nausea and vomiting. Chronic Dizziness. Advice for travelers. The Neurophysiology and Treatment of Motion Sickness. Motion Sickness: Current Knowledge and Recent Advance. Migraine and dizziness. Antihistamines for motion sickness. The Neurophysiology and Treatment of Motion Sickness. Evidence-based analysis of risk factors for postoperative nausea and vomiting. Space motion sickness. Motion sickness. Motion sickness. Motion Sickness: Current Knowledge and Recent Advance. Self-driving carsickness. Pathophysiological and neurochemical mechanisms of postoperative nausea and vomiting. Evidence-based analysis of risk factors for postoperative nausea and vomiting. Motion sickness. Motion Sickness: Current Knowledge and Recent Advance. Self-driving carsickness. Space motion sickness. Motion sickness. Pharmacological and non-pharmacological countermeasures to Space Motion Sickness: a systematic review. Clinical characteristics of visual motion hypersensitivity: a systematic review. Antihistamines for motion sickness. The role of the parasympathetic nervous system in visually induced motion sickness: systematic review and meta-analysis. Scopolamine (hyoscine) for preventing and treating motion sickness. Molecular resources
Metastatic malignant neoplasm to kidney,C0153685,Neoplastic Process,"The spread of a malignant neoplasm to the kidney. This may be from a primary kidney malignant neoplasm involving the opposite kidney, or from a malignant neoplasm at a distant site. ","""Collecting duct carcinoma of the kidney: diagnosis and implications for management"". Primary renal carcinoid: treatment and prognosis. Potential role of genetic markers in the management of kidney cancer. Adjuvant nivolumab plus ipilimumab versus placebo for localised renal cell carcinoma after nephrectomy (CheckMate 914): a double-blind, randomised, phase 3 trial. More advantages in detecting bone and soft tissue metastases from prostate cancer using (18)F-PSMA PET/CT. Renal cell carcinoma. Adjuvant Sunitinib in High-Risk Renal-Cell Carcinoma after Nephrectomy. Sunitinib-induced thrombotic microangiopathy. ""Collecting duct carcinoma of the kidney: diagnosis and implications for management"". Clinical and Pathologic Features of Primary Angiosarcoma of the Kidney. Rediscovering Secondary Tumors of the Prostate in the Molecular Era. Renal cancer. Adrenal medulla. Pembrolizumab plus lenvatinib as first-line therapy for advanced non-clear-cell renal cell carcinoma (KEYNOTE-B61): a single-arm, multicentre, phase 2 trial. Adjuvant nivolumab plus ipilimumab versus placebo for localised renal cell carcinoma after nephrectomy (CheckMate 914): a double-blind, randomised, phase 3 trial. 5-year outcomes after stereotactic ablative body radiotherapy for primary renal cell carcinoma: an individual patient data meta-analysis from IROCK (the International Radiosurgery Consortium of the Kidney). Renal cell carcinoma. Adjuvant Sunitinib in High-Risk Renal-Cell Carcinoma after Nephrectomy. Renal AA amyloidosis: presentation, diagnosis, and current therapeutic options: a review. A transcriptional metastatic signature predicts survival in clear cell renal cell carcinoma. Novel Imaging Methods for Renal Mass Characterization: A Collaborative Review. More advantages in detecting bone and soft tissue metastases from prostate cancer using (18)F-PSMA PET/CT. Renal cell carcinoma. A transcriptional metastatic signature predicts survival in clear cell renal cell carcinoma. More advantages in detecting bone and soft tissue metastases from prostate cancer using (18)F-PSMA PET/CT. TROG 15.03 phase II clinical trial of Focal Ablative STereotactic Radiosurgery for Cancers of the Kidney - FASTRACK II. Renal cell carcinoma. Tumour ablation: current role in the kidney, lung and bone. Dosimetry of [(177)Lu]Lu-PSMA-Targeted Radiopharmaceutical Therapies in Patients with Prostate Cancer: A Comparative Systematic Review and Metaanalysis. Intraventricular Cerebral Metastases: A Comprehensive Systematic Review. Cancer Metastases to the Hand: A Systematic Review and Meta-analysis. Primary primitive neuroectodermal tumour of the kidney in adults: Experience of managing 12 cases with systematic review and pooled analysis of literature. Primary Renal Synovial Sarcoma and Clinical and Pathological Findings: a Systematic Review."
Metrorrhagia,C0025874,Pathologic Function,Bleeding at irregular intervals. ,"Guideline No. 447: Diagnosis and Management of Endometrial Polyps. Menstrual disorders associated with sirolimus treatment. Evaluation and Management of Adolescents with Abnormal Uterine Bleeding. Estetrol/Drospirenone: A Review in Oral Contraception. Progesterone and abnormal uterine bleeding/menstrual disorders. Isthmocele: an overview of diagnosis and treatment. The medical management of abnormal uterine bleeding in reproductive-aged women. The FIGO recommendations on terminologies and definitions for normal and abnormal uterine bleeding. Abnormal uterine bleeding in adolescents. Abnormal Uterine Bleeding in Adolescents: A Multidisciplinary Approach. Isthmocele: an overview of diagnosis and treatment. The two FIGO systems for normal and abnormal uterine bleeding symptoms and classification of causes of abnormal uterine bleeding in the reproductive years: 2018 revisions. Abnormal uterine bleeding. Estetrol/Drospirenone: A Review in Oral Contraception. Relugolix, an oral gonadotropin-releasing hormone receptor antagonist, reduces endometriosis-associated pain compared with leuprorelin in Japanese women: a phase 3, randomized, double-blind, noninferiority study. Estetrol-drospirenone combination oral contraceptive: North American phase 3 efficacy and safety results. Isthmocele: an overview of diagnosis and treatment. The medical management of abnormal uterine bleeding in reproductive-aged women. Estetrol/Drospirenone: A Review in Oral Contraception. Relugolix, an oral gonadotropin-releasing hormone receptor antagonist, reduces endometriosis-associated pain compared with leuprorelin in Japanese women: a phase 3, randomized, double-blind, noninferiority study. Estetrol-Drospirenone combination oral contraceptive: a clinical study of contraceptive efficacy, bleeding pattern and safety in Europe and Russia. Estetrol-drospirenone combination oral contraceptive: North American phase 3 efficacy and safety results. Risk assessment of endometrial cancer and endometrial intraepithelial neoplasia in women with abnormal bleeding and implications for clinical management algorithms. Estetrol/Drospirenone: A Review in Oral Contraception. Relugolix, an oral gonadotropin-releasing hormone receptor antagonist, reduces endometriosis-associated pain compared with leuprorelin in Japanese women: a phase 3, randomized, double-blind, noninferiority study. Estetrol-Drospirenone combination oral contraceptive: a clinical study of contraceptive efficacy, bleeding pattern and safety in Europe and Russia. Estetrol-drospirenone combination oral contraceptive: North American phase 3 efficacy and safety results. Risk assessment of endometrial cancer and endometrial intraepithelial neoplasia in women with abnormal bleeding and implications for clinical management algorithms. Cesarean scar defects and abnormal uterine bleeding: a systematic review and meta-analysis. Co-administration of St. John's wort and hormonal contraceptives: a systematic review. Emerging Manifestations of Cesarean Scar Defect in Reproductive-aged Women. The management of unacceptable bleeding patterns in etonogestrel-releasing contraceptive implant users. A systematic review evaluating health-related quality of life, work impairment, and health-care costs and utilization in abnormal uterine bleeding."
Endometrial Carcinoma,C0476089,Neoplastic Process,"A carcinoma of the endometrium, the mucous lining of the uterus. ","Uterine Neoplasms, Version 1.2023, NCCN Clinical Practice Guidelines in Oncology. Endometrial polyps. An evidence-based diagnosis and management guide. ESGO/ESTRO/ESP guidelines for the management of patients with endometrial carcinoma. NCCN Clinical Practice Guidelines in Oncology (NCCN Guidelines®), Uterine Neoplasms, 2024 UK NICE Diagnostics Guidance DG42, Testing strategies for Lynch syndrome in people with endometrial cancer, 2020 Technology Assessment on Genetic Testing or Molecular Pathology Testing of Cancers with Unknown Primary Site to Determine Origin (ARCHIVED) Glycosyltransferase-related prognostic and diagnostic biomarkers of uterine corpus endometrial carcinoma. High expression of S100A2 predicts poor prognosis in patients with endometrial carcinoma. ESGO/ESTRO/ESP Guidelines for the management of patients with endometrial carcinoma. Endometrial Carcinoma and its Precursors. Postablation Endometrial Carcinoma. Glycosyltransferase-related prognostic and diagnostic biomarkers of uterine corpus endometrial carcinoma. High expression of S100A2 predicts poor prognosis in patients with endometrial carcinoma. ESGO/ESTRO/ESP Guidelines for the management of patients with endometrial carcinoma. Endometrial carcinoma: molecular subtypes, precursors and the role of pathology in early diagnosis. Endometrial cancer. Glycosyltransferase-related prognostic and diagnostic biomarkers of uterine corpus endometrial carcinoma. Lenvatinib dose, efficacy, and safety in the treatment of multiple malignancies. Lenvatinib Plus Pembrolizumab in Patients With Advanced Endometrial Cancer. Incorporation of molecular characteristics into endometrial cancer management. Phase III Trial: Adjuvant Pelvic Radiation Therapy Versus Vaginal Brachytherapy Plus Paclitaxel/Carboplatin in High-Intermediate and High-Risk Early Stage Endometrial Cancer. Uterine Carcinosarcomas - Diagnosis and Management. The clinical management of inoperable endometrial carcinoma. Diagnosis and management of endometrial hyperplasia. Endometrial cancer. Endometrial carcinoma. Glycosyltransferase-related prognostic and diagnostic biomarkers of uterine corpus endometrial carcinoma. High expression of S100A2 predicts poor prognosis in patients with endometrial carcinoma. ESGO/ESTRO/ESP Guidelines for the management of patients with endometrial carcinoma. Interpretation of somatic POLE mutations in endometrial carcinoma. Final validation of the ProMisE molecular classifier for endometrial carcinoma in a large population-based case series. Risk of endometrial cancer in asymptomatic postmenopausal women in relation to ultrasonographic endometrial thickness: systematic review and diagnostic test accuracy meta-analysis. Ovarian metastasis risk factors in endometrial carcinoma: A systematic review and meta-analysis. ESGO/ESTRO/ESP Guidelines for the management of patients with endometrial carcinoma. Association between BRCA mutations and endometrial carcinoma: a systematic review with meta-analysis. Accuracy of Endometrial Sampling in Endometrial Carcinoma: A Systematic Review and Meta-analysis. Molecular resources"
Secondary physiologic amenorrhea,C0232940,Disease or Syndrome,"The cessation of menstruation for six months or more in a female that is not pregnant, breastfeeding or menopausal. ","Where Have the Periods Gone? The Evaluation and Management of Functional Hypothalamic Amenorrhea. Amenorrhea: A Systematic Approach to Diagnosis and Management. Amenorrhea: an approach to diagnosis and management. Functional Hypothalamic Amenorrhea: Recognition and Management of a Challenging Diagnosis. Amenorrhea: A Systematic Approach to Diagnosis and Management. Hypothalamic Amenorrhea and the Long-Term Health Consequences. Genetics of primary ovarian insufficiency. Amenorrhea: an approach to diagnosis and management. Where Have the Periods Gone? The Evaluation and Management of Functional Hypothalamic Amenorrhea. Amenorrhea: A Systematic Approach to Diagnosis and Management. Amenorrhea: an approach to diagnosis and management. Menstrual disorders. Current evaluation of amenorrhea. Adverse effects of doping with anabolic androgenic steroids in competitive athletics, recreational sports and bodybuilding. Menopause and Chronic Kidney Disease. Primary Ovarian Insufficiency: Current Concepts. Adolescent menstrual irregularity. Medroxyprogesterone acetate. Selected Genetic Factors Associated with Primary Ovarian Insufficiency. Hypothalamic Amenorrhea and the Long-Term Health Consequences. Genetics of primary ovarian insufficiency. The young female athlete. Pediatric pituitary tumors. Selected Genetic Factors Associated with Primary Ovarian Insufficiency. Adverse effects of doping with anabolic androgenic steroids in competitive athletics, recreational sports and bodybuilding. Genetics of primary ovarian insufficiency. The young female athlete. Athletic amenorrhea: a review. Impact of Secondary Amenorrhea on Cardiovascular Disease Risk in Physically Active Women: A Systematic Review and Meta-Analysis. Efficacy and safety in the treatment of hyperprolactinemia: A systematic review and network meta-analysis. Turner Syndrome Systematic Review: Spontaneous Thelarche and Menarche Stratified by Karyotype."
Nutritional deficiency with AIDS (acquired immunodeficiency syndrome),C0276587,Disease or Syndrome,,"Inclusion of nutritional counseling and mental health services in HIV/AIDS management: A paradigm shift. Idiopathic AIDS enteropathy and treatment of gastrointestinal opportunistic pathogens. The urological management of the patient with acquired immunodeficiency syndrome. Managing frailty in people with human immunodeficiency virus. Revisiting the AIDS Epidemic in Pakistan: Where We Stand and What We Must Aim For. Community-Acquired Pneumonia in Latin America. Tuberculosis in the elderly. Human immunodeficiency virus and acquired immunodeficiency syndrome: correlation but not causation. Surgical implications of HIV infection. Secondary immunodeficiencies: An overview. HIV/AIDS and aging. Tuberculosis in the elderly. Photosensitivity. Association of Low Vitamin D with Complications of HIV and AIDS: A literature Review. Tuberculosis in the elderly. Photosensitivity. AIDS-associated anorexia. AIDS acquired by drug consumption and other noncontagious risk factors. Esophagectomy in Patients with Human Immunodeficiency Virus and Acquired Immune Deficiency Syndrome: A Viable Option. HIV/AIDS and aging. The urological management of the patient with acquired immunodeficiency syndrome. Malnutrition associated with HIV/AIDS. Part One: Definition and scope, epidemiology, and pathophysiology. AIDS acquired by drug consumption and other noncontagious risk factors. Widespread occurrence of Cryptosporidium infections in patients with HIV/AIDS: Epidemiology, clinical feature, diagnosis, and therapy. Body composition and nutritional parameters in HIV and AIDS patients. Tuberculosis in the elderly. AIDS acquired by drug consumption and other noncontagious risk factors. Acquired immune deficiency syndrome in childhood. WITHDRAWN: Interventions for fatigue and weight loss in adults with advanced progressive illness. Interventions for fatigue and weight loss in adults with advanced progressive illness. Summary of a systematic review on oral nutritional supplement use in the community."
Sleep Initiation and Maintenance Disorders,C0021603,Disease or Syndrome,Disorders characterized by impairment of the ability to initiate or maintain sleep. This may occur as a primary disorder or in association with another medical or psychiatric condition. ,"The prevalence of insomnia: the importance of operationally defined criteria. Insomnia Management: A Review and Update. Melatonin in sleep disorders. Insomnia in the Older Adult. Measuring Subjective Sleep Quality: A Review. A review of sleep disorders and melatonin. Insomnia and Other Sleep Disorders in Older Adults. Treatment of Circadian Rhythm Sleep-Wake Disorders. Brain mechanisms of insomnia: new perspectives on causes and consequences. Sleep Disorders. The Pittsburgh Sleep Quality Index: a new instrument for psychiatric practice and research. Melatonin in sleep disorders. The Effects of Cannabinoids on Sleep. Treatment of Circadian Rhythm Sleep-Wake Disorders. Depression in sleep disturbance: A review on a bidirectional relationship, mechanisms and treatment. Sleep Disorders. Sleep function: an evolutionary perspective. Sleep disturbance and psychiatric disorders: a bidirectional Mendelian randomisation study. Treatment of insomnia - effect of trazodone and hypnotics on sleep. Sleep Disorders in Cancer-A Systematic Review. Depression in sleep disturbance: A review on a bidirectional relationship, mechanisms and treatment. Sleep During Pregnancy. Sleep Disorders in Cancer-A Systematic Review. Measuring Subjective Sleep Quality: A Review. Depression in sleep disturbance: A review on a bidirectional relationship, mechanisms and treatment. The Pittsburgh Sleep Quality Index: a new instrument for psychiatric practice and research. A systematic review and meta-analysis of poor sleep, insomnia symptoms and stress in undergraduate students. Measuring Subjective Sleep Quality: A Review. Valerian Root in Treating Sleep Problems and Associated Disorders-A Systematic Review and Meta-Analysis. Coffee, caffeine, and sleep: A systematic review of epidemiological studies and randomized controlled trials. Insomnia."
Multiple Myeloma,C0026764,Neoplastic Process,"Multiple myeloma is a neoplastic plasma cell disorder characterized by clonal proliferation of malignant plasma cells in the bone marrow microenvironment, monoclonal protein in the blood or urine, and associated organ dysfunction (Palumbo and Anderson, 2011). ","Multiple myeloma: 2022 update on diagnosis, risk stratification, and management. Diagnosis and Management of Multiple Myeloma: A Review. International Myeloma Working Group updated criteria for the diagnosis of multiple myeloma. NCCN Clinical Practice Guidelines in Oncology (NCCN Guidelines®) Multiple Myeloma, 2024 Non-secretory multiple myeloma: Diagnosis and management. Roadmap to cure multiple myeloma. Multiple myeloma: Every year a new standard? Pathobiology and Diagnosis of Multiple Myeloma. Updated Diagnostic Criteria and Staging System for Multiple Myeloma. Non-secretory multiple myeloma: Diagnosis and management. Roadmap to cure multiple myeloma. Multiple myeloma: Every year a new standard? Haematology: multiple myeloma. Pathobiology and Diagnosis of Multiple Myeloma. The emerging therapeutic landscape of relapsed/refractory multiple myeloma. Measurable Residual Disease by Next-Generation Flow Cytometry in Multiple Myeloma. Bortezomib for the treatment of multiple myeloma. Smoldering multiple myeloma. Carfilzomib. The epidemiological landscape of multiple myeloma: a global cancer registry estimate of disease burden, risk factors, and temporal trends. Frontline treatment patterns and attrition rates by subsequent lines of therapy in patients with newly diagnosed multiple myeloma. Long-Term Follow-Up Results of Lenalidomide, Bortezomib, and Dexamethasone Induction Therapy and Risk-Adapted Maintenance Approach in Newly Diagnosed Multiple Myeloma. Incidence and mortality of multiple myeloma in China, 2006-2016: an analysis of the Global Burden of Disease Study 2016. Cancer Incidence and Mortality in Firefighters: A State-of-the-Art Review and Meta-َAnalysis. Second Revision of the International Staging System (R2-ISS) for Overall Survival in Multiple Myeloma: A European Myeloma Network (EMN) Report Within the HARMONY Project. Predicting venous thromboembolism in multiple myeloma: development and validation of the IMPEDE VTE score. Geriatric assessment predicts survival and toxicities in elderly myeloma patients: an International Myeloma Working Group report. International staging system for multiple myeloma. Review of 1027 patients with newly diagnosed multiple myeloma. Infections following bispecific antibodies in myeloma: a systematic review and meta-analysis. Systematic Review and Meta-Analysis of the Impact of Bariatric Surgery on Future Cancer Risk. Relapsed and refractory multiple myeloma: A systematic review and network meta-analysis of the efficacy of novel therapies. Extramedullary disease in multiple myeloma: a systematic literature review. Body-mass index and incidence of cancer: a systematic review and meta-analysis of prospective observational studies. Molecular resources"
Hemorrhagic Disease of Newborn,C0019088,Disease or Syndrome,"A condition characterized as a coagulation disturbance in newborns due to vitamin K deficiency resulting in impaired production of coagulation factors II, VII, IX, and X, and proteins C and S by the liver. ","THE DIAGNOSIS AND MANAGEMENT OF BLEEDING DISORDERS. Prevalence of retinal hemorrhages in critically ill children. The impact of national and international guidelines on newborn care in the nurseries of Piedmont and Aosta Valley, Italy. Pattern of admissions to neonatal unit. Comparative study of oral versus injectable vitamin K in neonates. Prevalence of retinal hemorrhages in critically ill children. Late hemorrhagic disease of newborn. HEMORRHAGE IN THE NEWBORN. THE DIAGNOSIS AND MANAGEMENT OF BLEEDING DISORDERS. DIAGNOSTIC AND THERAPEUTIC ADVANCES IN HAEMORRHAGIC DISORDERS OF CHILDHOOD. The impact of national and international guidelines on newborn care in the nurseries of Piedmont and Aosta Valley, Italy. Comparative study of oral versus injectable vitamin K in neonates. Hemorrhagic disease of the newborn: a report of seven cases in a two year period, recommendations for prevention particularly with reference to infants delivered by midwives of South Carolina. Pattern of admissions to neonatal unit. Prevalence of retinal hemorrhages in critically ill children. The impact of national and international guidelines on newborn care in the nurseries of Piedmont and Aosta Valley, Italy. The pathogenesis of haemorrhages in newborn babies. Experimental observations of the platelet serotonin. Observations on the prophylactic use of vitamin Kin the newborn infant."
Labor Pain,C0474368,Sign or Symptom,The discomfort that is experienced by the pregnant mother during the childbirth process as she attempts to give birth. ,"Pain Management in Labor. Music Therapy in Pain and Anxiety Management during Labor: A Systematic Review and Meta-Analysis. Pain management during labor and vaginal birth. Birthing ball for reducing labor pain: a systematic review and meta-analysis of randomized controlled trials. The effectiveness of a Pilates exercise program during pregnancy on childbirth outcomes: a randomised controlled clinical trial. Non-pharmacological therapies applied in pregnancy and labor: an integrative review. Pain Management in Labor. The Effectiveness of Aromatherapy in the Management of Labor Pain and Anxiety: A Systematic Review. Beyond the epidural: Alternatives to neuraxial labor analgesia. Post-dural puncture headache diagnosis and management. Complementary therapies in labor: randomized clinical trial. No. 355-Physiologic Basis of Pain in Labour and Delivery: An Evidence-Based Approach to its Management. Pain biomarkers. Pharmacologic and nonpharmacologic options for pain relief during labor: an expert review. Birthing ball for reducing labor pain: a systematic review and meta-analysis of randomized controlled trials. The effectiveness of a Pilates exercise program during pregnancy on childbirth outcomes: a randomised controlled clinical trial. Pain Management in Labor. Pain management during labor and vaginal birth. Anaesthesia of pregnant women. Pain Management in Labor. Effect of Antenatal Exercises, Including Yoga, on the Course of Labor, Delivery and Pregnancy: A Retrospective Study. Benefits of preparing for childbirth with mindfulness training: a randomized controlled trial with active comparison. Pain biomarkers. The effectiveness of a Pilates exercise program during pregnancy on childbirth outcomes: a randomised controlled clinical trial. Pain Management in Labor. Music Therapy in Pain and Anxiety Management during Labor: A Systematic Review and Meta-Analysis. Complementary therapies in labor: randomized clinical trial. Prenatal Yoga: Effects on Alleviation of Labor Pain and Birth Outcomes. Birthing ball for reducing labor pain: a systematic review and meta-analysis of randomized controlled trials. Music Therapy in Pain and Anxiety Management during Labor: A Systematic Review and Meta-Analysis. The Effectiveness of Aromatherapy in the Management of Labor Pain and Anxiety: A Systematic Review. Epidural versus non-epidural or no analgesia for pain management in labour. Relaxation techniques for pain management in labour."
